,CampusID,InstitutionID,MedianFamilyIncome,DebtNonCompleter,PredominantDegree,State,FirstGen,IndPerc,LoanPerc,MDEarning10,Control,NetPrice
0,100654,100200,22681.34069,10064.0,3,AL,0.3697640828,0.1576692374,0.7935,30300.0,1,11726.0
1,100663,105200,35359.88195,8650.0,3,AL,0.3459119497,0.3303133258,0.5529,39700.0,1,15123.0
2,100690,2503400,18409.75222,5644.5,3,AL,0.4957264957,0.9071925754000001,0.9679,40100.0,2,6927.0
3,100706,105500,33376.82879,8305.5,3,AL,0.3248730964,0.37806451609999997,0.4787,45500.0,1,11160.0
4,100724,100500,20444.53146,9500.0,3,AL,0.40354912909999996,0.1808297568,0.8157,26600.0,1,11029.0
5,100751,105100,61170.22425,7500.0,3,AL,0.2642312864,0.17191179620000002,0.4231,41900.0,1,18526.0
6,100760,100700,17430.215369999998,6170.5,2,AL,0.5712374582,0.450377249,0.3807,27500.0,1,731.0
7,100812,100800,28232.562089999996,5561.0,3,AL,0.47654986520000003,0.7605563835,0.6278,39000.0,1,
8,100830,831000,27148.509889999998,6170.0,3,AL,0.4288312869,0.3456431535,0.563,35000.0,1,11419.0
9,100858,100900,75752.73595,11500.0,3,AL,0.1828057689,0.1069216758,0.3714,45700.0,1,16284.0
10,100937,101200,75354.43941,8750.0,3,AL,0.16834170850000002,0.0416666667,0.5103,44200.0,2,22544.0
11,101028,1218200,18862.18627,3105.0,2,AL,0.46740740740000003,0.522242535,0.0348,26100.0,1,1190.0
12,101073,1055400,16071.33099,5500.0,2,AL,0.4901960784,0.2155688623,0.7121,19900.0,2,12596.0
13,101116,1303906,16923.388280000003,4750.0,2,AL,0.5156537753,0.8072542232,0.7885,28800.0,3,24044.0
14,101143,101500,19560.87804,4907.0,2,AL,0.481233244,0.5165525114,0.287,24600.0,1,5193.0
15,101161,106000,22798.78913,3719.0,2,AL,0.47538978909999996,0.4118125169,0.3508,28700.0,1,6321.0
16,101189,100300,24938.842780000003,8250.0,3,AL,0.45394006659999997,0.6071599045,0.9334,37200.0,2,18500.0
17,101240,101700,14020.08555,,2,AL,0.5516962843,0.5708606174,0.0,25700.0,1,5620.0
19,101286,101800,15860.210480000002,,2,AL,0.5223765432,0.5423289004,0.0,26600.0,1,2408.0
20,101295,787100,25745.74135,5500.0,2,AL,0.5547468354,0.45196759259999997,0.4005,28800.0,1,8959.0
21,101301,569900,13230.715709999999,,2,AL,0.5177865613,0.43450064850000003,0.0,24200.0,1,10765.0
22,101365,962107,18063.48579,5895.5,2,AL,0.5206295194,0.8527014439,0.3364,42300.0,3,23121.0
